Risk_ID,Risk_Title,Category,Description,Threat_Source,Vulnerability,Likelihood,Impact,Risk_Score,Risk_Level,Current_Controls,Control_Effectiveness,Residual_Risk,Treatment,Owner,Due_Date,Status,Evidence_Source
RK-001,Brute Force Credential Attack,Authentication,Attacker attempts repeated login attempts to compromise user accounts,External Threat Actor,Weak or no lockout policy,4,4,16,High,brute_detector.py - automated detection; GPO account lockout policy,High,Low,Mitigate - lockout policy already implemented; enhance with MFA,Binette,2026-07-01,Open,week-03_python-for-security; week-05_identity-access-active-directory
RK-002,SQL Injection Attack,Application Security,Attacker exploits unsanitized input fields to extract or modify database data,External Threat Actor,Lack of input validation in web applications,3,5,15,High,sqli_report.txt - documented findings; OmniPortal_Assessment.md - remediation steps,Partial,Medium,Mitigate - implement parameterized queries; conduct code review,Binette,2026-07-15,Open,week-08-09_exploitation-post-exploitation
RK-003,Unauthorized Lateral Movement,Network Security,Attacker moves laterally through network after initial compromise,Internal/External,Flat network architecture without segmentation,3,5,15,High,docker-compose.yml - network segmentation; firewall_config.sh - UFW rules,High,Low,Mitigate - maintain and expand network segmentation,Binette,2026-08-01,In Progress,week-04_docker-containers; week-11_active-defense
RK-004,Cross-Site Scripting (XSS),Application Security,Attacker injects malicious scripts into web pages viewed by users,External Threat Actor,Insufficient output encoding,3,4,12,High,xss_payloads.txt - documented attack vectors; OmniPortal_Assessment.md,Partial,Medium,Mitigate - implement Content Security Policy; encode all output,Binette,2026-07-15,Open,week-08-09_exploitation-post-exploitation
RK-005,Privilege Escalation,Access Control,Low-privilege account escalated to administrator,Internal Threat,Misconfigured sudo/GPO; unpatched vulnerabilities,2,5,10,Medium,harden.sh - permission hardening; gpo_audit.txt - GPO enforcement,High,Low,Mitigate - regular GPO audits; patch management program,Binette,2026-08-15,Open,week-01_linux-fundamentals; week-05_identity-access-active-directory
RK-006,Data Exfiltration via Malware,Malware,Malicious code exfiltrates sensitive data to external attacker,External Threat Actor,Lack of endpoint protection; insufficient monitoring,3,4,12,High,custom_ids.rules - Suricata detection; edr_policy.xml - EDR policy,High,Low,Mitigate - IDS signatures + EDR already deployed; expand coverage,Binette,2026-09-01,Open,week-11_active-defense
RK-007,Unpatched Critical Vulnerability,Vulnerability Management,Known CVE exploited before patch applied,External Threat Actor,Delayed patch management,3,5,15,High,remediation_plan.md - CVE tracking; nmap_scan_results.txt - vulnerability discovery,Partial,Medium,Mitigate - establish formal patch SLAs (critical: 72h; high: 7d),Binette,2026-07-01,Open,week-07_recon-vulnerability-analysis
RK-008,Insider Threat - Data Theft,Insider Threat,Authorized user intentionally exfiltrates sensitive information,Malicious Insider,Insufficient data access controls; no DLP,2,5,10,Medium,gpo_audit.txt - access controls; collection_log.txt - data handling procedures,Partial,Medium,Mitigate - implement DLP controls; enhance audit logging,Binette,2026-09-01,Open,week-05_identity-access-active-directory; week-10_dfir
RK-009,Container Escape,Containerization,Attacker escapes Docker container to host system,External Threat Actor,Privileged container configuration; kernel vulnerabilities,2,4,8,Medium,docker-compose.yml - air-gapped non-privileged setup,High,Low,Mitigate - maintain non-privileged container configs; regular image updates,Binette,2026-08-01,Open,week-04_docker-containers
RK-010,Phishing Attack,Social Engineering,Employee clicks malicious link or attachment leading to compromise,External Threat Actor,Lack of security awareness; no email filtering,3,4,12,High,None documented,None,High,Mitigate - implement email filtering; security awareness training,Binette,2026-07-01,Open,
RK-011,Denial of Service Attack,Availability,Attacker floods system with traffic rendering it unavailable,External Threat Actor,No DDoS protection; insufficient capacity planning,2,3,6,Medium,firewall_config.sh - rate limiting via UFW,Partial,Medium,Accept - lab environment; monitor and escalate if production,Binette,2026-10-01,Accepted,week-11_active-defense
RK-012,Evidence Tampering,Forensics/Integrity,Log files or forensic evidence modified to conceal attacker activity,Internal/External,Insufficient audit log protection,3,4,12,High,collection_log.txt - chain-of-custody; system_auditor.py - audit trail,Partial,Medium,Mitigate - implement remote syslog; cryptographic log signing,Binette,2026-08-01,Open,week-10_dfir; week-03_python-for-security
RK-013,Third-Party Vendor Risk,Supply Chain,Vulnerabilities introduced via third-party software or services,External Threat Actor,No vendor risk assessment program,3,4,12,High,None,None,High,Mitigate - establish vendor risk assessment program,Binette,2026-09-01,Open,
RK-014,Inadequate Backup and Recovery,Business Continuity,System cannot be recovered in acceptable timeframe after failure,System Failure,No formal backup policy or tested recovery procedures,2,4,8,Medium,backup_discovery.txt - backup identification,Low,High,Mitigate - define RTO/RPO; implement and test backup procedures,Binette,2026-09-01,Open,week-08-09_exploitation-post-exploitation
RK-015,Network Reconnaissance,Network Security,Attacker maps network topology before launching attack,External Threat Actor,Insufficient network monitoring; open services,3,3,9,Medium,nmap_scan_results.txt - recon methodology; custom_ids.rules - detection,High,Low,Mitigate - IDS rules already detect recon patterns,Binette,2026-08-01,Open,week-07_recon-vulnerability-analysis; week-11_active-defense
