Clause,Control_ID,Control_Name,Description,Implementation_Status,Evidence_Artifact,Evidence_Source,Applicable,Notes
Organizational Controls,A.5.1,Policies for information security,Define publish and communicate information security policies,Implemented,HardenedOutpost_SAD.pdf,week-06_midterm-capstone,Yes,SAD serves as information security policy document
Organizational Controls,A.5.2,Information security roles and responsibilities,Define and allocate information security responsibilities,Partial,onboard_engineers.ps1,week-05_identity-access-active-directory,Yes,Roles defined in AD; RACI matrix not formally documented
Organizational Controls,A.5.7,Threat intelligence,Collect and analyze information about information security threats,Implemented,ThreatProfile_CloudNano.md,week-07_recon-vulnerability-analysis,Yes,OSINT threat profile demonstrates threat intelligence capability
Organizational Controls,A.5.8,Information security in project management,Integrate information security into project management,Partial,HardenedOutpost_SAD.pdf,week-06_midterm-capstone,Yes,Security architecture in capstone; no formal SDLC process
Organizational Controls,A.5.15,Access control,Establish implement and review access control rules,Implemented,gpo_audit.txt; onboard_engineers.ps1,week-05_identity-access-active-directory,Yes,GPO and AD together implement comprehensive access control
Organizational Controls,A.5.24,Information security incident management planning,Plan and prepare for information security incident management,Implemented,Incident_Response_Report.md,week-12_final-reckoning,Yes,Full IR report with planning and preparation documented
Organizational Controls,A.5.25,Assessment and decision on information security events,Assess and decide on information security events,Implemented,attack_timeline.csv,week-10_dfir,Yes,DFIR attack timeline demonstrates event assessment process
Organizational Controls,A.5.26,Response to information security incidents,Respond to information security incidents,Implemented,Incident_Response_Report.md; Operation_Fortress_Report.md,week-12_final-reckoning,Yes,Both reports demonstrate full incident response execution
Organizational Controls,A.5.27,Learning from information security incidents,Apply lessons learned from incidents,Implemented,tepp_postmortem.md,week-12_final-reckoning,Yes,Post-mortem analysis captures lessons learned
Organizational Controls,A.5.28,Collection of evidence,Identify and collect evidence,Implemented,collection_log.txt; forensic_report.pdf,week-10_dfir,Yes,Chain-of-custody log and forensic report demonstrate evidence handling
Organizational Controls,A.5.29,Information security during disruption,Protect information security during disruption,Partial,HardenedOutpost_SAD.pdf,week-06_midterm-capstone,Yes,SAD addresses resilience; formal BCP not documented
Organizational Controls,A.5.30,ICT readiness for business continuity,Plan implement and test ICT readiness for business continuity,Not Implemented,,,Yes,No BCP/DR testing documented
People Controls,A.6.1,Screening,Perform background verification checks on all candidates,Not Implemented,,,Yes,No screening policy; not applicable to lab environment
People Controls,A.6.3,Information security awareness education and training,Provide security awareness training,Partial,notes.md,All weeks,Yes,Extensive lab-based learning; no formal training program
People Controls,A.6.4,Disciplinary process,Establish disciplinary process for information security violations,Not Implemented,,,Yes,No disciplinary policy documented
Physical Controls,A.7.1,Physical security perimeters,Define and use security perimeters,Implemented,sandbox_report.txt,week-04_docker-containers,Yes,VM air-gap sandbox report demonstrates physical/logical perimeter
Physical Controls,A.7.2,Physical entry,Secure areas protected by appropriate entry controls,Partial,sandbox_report.txt,week-04_docker-containers,Yes,Virtualized environment controls; physical datacenter access not in scope
Physical Controls,A.7.8,Equipment siting and protection,Site and protect equipment,Partial,docker-compose.yml,week-04_docker-containers,Yes,Container isolation; physical equipment not in scope for lab
Technological Controls,A.8.2,Privileged access rights,Restrict and manage privileged access rights,Implemented,gpo_audit.txt; harden.sh,week-05_identity-access-active-directory; week-01_linux-fundamentals,Yes,GPO restricts privileged access; harden.sh limits sudo
Technological Controls,A.8.3,Information access restriction,Restrict access to information and application system functions,Implemented,gpo_audit.txt,week-05_identity-access-active-directory,Yes,GPO enforces information access restrictions
Technological Controls,A.8.4,Access to source code,Restrict access to source code,Partial,gpo_audit.txt,week-05_identity-access-active-directory,Yes,AD controls access; no specific code repository policy
Technological Controls,A.8.5,Secure authentication,Implement secure authentication technologies and procedures,Implemented,gpo_audit.txt; onboard_engineers.ps1,week-05_identity-access-active-directory,Yes,Kerberos authentication with GPO-enforced password policies
Technological Controls,A.8.7,Protection against malware,Protect against malware,Implemented,custom_ids.rules,week-11_active-defense,Yes,Suricata IDS rules detect malware signatures and behavior
Technological Controls,A.8.8,Management of technical vulnerabilities,Identify and manage technical vulnerabilities,Implemented,nmap_scan_results.txt; remediation_plan.md,week-07_recon-vulnerability-analysis,Yes,Active scanning and CVE-based remediation planning
Technological Controls,A.8.9,Configuration management,Manage configurations of hardware software services and networks,Implemented,docker-compose.yml; harden.sh,week-04_docker-containers; week-01_linux-fundamentals,Yes,Infrastructure-as-code and hardening scripts codify configurations
Technological Controls,A.8.15,Logging,Produce store protect and analyze logs,Implemented,system_auditor.py; custom_ids.rules,week-03_python-for-security; week-11_active-defense,Yes,Python auditor and Suricata both generate structured logs
Technological Controls,A.8.16,Monitoring activities,Monitor networks systems and applications,Implemented,brute_detector.py; custom_ids.rules,week-03_python-for-security; week-11_active-defense,Yes,Automated monitoring via Python and Suricata
Technological Controls,A.8.20,Networks security,Secure manage and control networks,Implemented,firewall_config.sh; network_audit.txt,week-11_active-defense; week-02_networking-protocol-analysis,Yes,UFW firewall rules plus network auditing
Technological Controls,A.8.22,Segregation of networks,Segregate groups of information services,Implemented,docker-compose.yml,week-04_docker-containers,Yes,Air-gapped multi-container network segmentation
Technological Controls,A.8.23,Web filtering,Manage external website access,Partial,firewall_config.sh,week-11_active-defense,Yes,UFW outbound rules; no explicit web proxy/filter
Technological Controls,A.8.24,Use of cryptography,Define and implement rules for use of cryptography,Partial,docker-compose.yml,week-04_docker-containers,Yes,TLS in container configs; no formal cryptography policy
Technological Controls,A.8.25,Secure development life cycle,Establish rules for secure software development,Implemented,OmniPortal_Assessment.md; sqli_report.txt,week-08-09_exploitation-post-exploitation,Yes,Web app security testing demonstrates SDLC security integration
Technological Controls,A.8.29,Security testing in development and acceptance,Define and implement security testing processes,Implemented,OmniPortal_Assessment.md,week-08-09_exploitation-post-exploitation,Yes,Full web application penetration test documented
Technological Controls,A.8.34,Protection of information systems during audit testing,Plan and agree audit tests to minimize disruption,Implemented,Perimeter_Assessment.md,week-07_recon-vulnerability-analysis,Yes,Perimeter assessment planned and scoped appropriately
