Incident_ID,Title,Date_Detected,Date_Reported,Severity,Category,Status,Description,Detection_Method,Affected_Systems,Initial_Response,Root_Cause,Impact,Remediation_Actions,Lessons_Learned,Evidence_Artifact,Framework_Reference,Closed_Date
INC-001,Web Application SQL Injection Attack,2026-01-15,2026-01-15,High,Application Attack,Closed,SQL injection attack against OmniPortal web application exploiting unsanitized input fields in authentication form,Manual penetration testing,OmniPortal web application; backend database,Isolated affected application; captured evidence; began forensic analysis,Missing input validation on login form parameters; no parameterized queries,Potential access to user database records; authentication bypass demonstrated,Implemented parameterized queries; added WAF rules; conducted code review,Always test for injection vulnerabilities during development phase; parameterized queries are non-negotiable,sqli_report.txt; OmniPortal_Assessment.md,NIST IR-4; ISO A.5.26; SOC CC7.4,2026-01-22
INC-002,Brute Force Attack on Linux SSH,2026-01-28,2026-01-28,Medium,Authentication Attack,Closed,Automated brute force attack detected against SSH service on Linux lab system; 847 failed login attempts in 10 minutes,brute_detector.py automated alert,Ubuntu Linux server - SSH service,Account temporarily locked; IP blocked via UFW; alert triggered,Externally exposed SSH without rate limiting; no IP allowlist,No successful authentication; service temporarily degraded,Implemented fail2ban; UFW rate limiting; SSH key-only authentication,Deploy brute force detection before exposing any authentication service to network; log analysis is critical,brute_detector.py; security_alert.json,NIST AC-7; ISO A.8.16; SOC CC7.2,2026-02-04
INC-003,XSS Session Cookie Theft Attempt,2026-02-10,2026-02-10,High,Application Attack,Closed,Reflected XSS attack against OmniPortal exploiting unencoded user input in search functionality; session cookie targeted,Manual penetration testing,OmniPortal web application - search functionality,Isolated affected endpoint; captured XSS payload; reviewed session management,No output encoding on search results; session cookies lacked HttpOnly flag,Session cookie exposure demonstrated; potential account takeover,Implemented output encoding; added HttpOnly and Secure flags; added CSP header,Output encoding must be applied at every output point; CSP is a critical defense-in-depth layer,xss_payloads.txt; OmniPortal_Assessment.md,NIST SI-10; ISO A.8.25; SOC CC7.3,2026-02-17
INC-004,Unauthorized Network Reconnaissance,2026-02-20,2026-02-20,Low,Reconnaissance,Closed,Nmap scanning detected against lab network from external address; systematic port scan of all services,Suricata IDS alert - custom_ids.rules,Network perimeter - all lab hosts,Logged scan details; blocked source IP; reviewed exposed services,Insufficient alerting for port scan patterns; some services unnecessarily exposed,Attack surface mapped by attacker; no data compromised,Added Suricata rule for SYN scan detection; closed unnecessary open ports,Proactive scanning of own assets before attackers is essential; IDS rules must cover recon patterns,nmap_scan_results.txt; custom_ids.rules,NIST SI-4; ISO A.8.16; SOC CC7.1,2026-02-27
INC-005,Privilege Escalation via Misconfigured Sudo,2026-03-05,2026-03-05,High,Privilege Escalation,Closed,Low-privilege user account gained root access via misconfigured sudo rules allowing unrestricted command execution,System audit - system_auditor.py,Ubuntu Linux server - sudo configuration,Revoked elevated privileges; audited all sudo rules; reviewed access logs,Overly permissive sudo rule (ALL=(ALL) NOPASSWD: ALL) left from initial setup,Temporary root access by low-privilege account; no data exfiltration detected,Corrected sudo rules to minimum required; implemented sudo audit logging; added sudoers review to harden.sh,Never use wildcard sudo rules; principle of least privilege applies to sudo configuration,harden.sh; system_auditor.py; gpo_audit.txt,NIST AC-6; ISO A.8.2; SOC CC6.3,2026-03-12
INC-006,Malware Persistence via Scheduled Task,2026-03-18,2026-03-18,High,Malware,Closed,Simulated malware persistence mechanism detected - malicious scheduled task created by post-exploitation module during purple team exercise,EDR policy alert - edr_policy.xml,Windows Server 2022 - Task Scheduler,Isolated system from network; captured memory image; removed persistence mechanism,Post-exploitation module created scheduled task for persistence; insufficient task monitoring,Persistence mechanism established in lab environment; no production impact,Removed malicious task; implemented task scheduler auditing; updated EDR signatures,Scheduled task creation should be monitored and alerted; memory forensics is essential for persistence detection,edr_policy.xml; forensic_findings.md; Operation_Fortress_Report.md,NIST IR-4; ISO A.5.26; SOC CC7.4,2026-03-25
INC-007,Active Directory Kerberoasting Attempt,2026-03-28,2026-03-28,High,Credential Attack,Closed,Kerberoasting attack detected during purple team exercise - attacker requested service tickets for offline cracking,Suricata IDS - anomalous Kerberos traffic,Active Directory - Kerberos KDC,Reset service account passwords; implemented LAPS; reviewed SPN registrations,Service accounts with weak passwords and SPNs registered; insufficient Kerberos monitoring,Service ticket captured for offline analysis; no credential compromise confirmed,Implemented 25+ character service account passwords; deployed LAPS; added Kerberos anomaly detection,Service accounts are high-value targets; managed service accounts and LAPS significantly reduce Kerberoasting risk,gpo_audit.txt; Operation_Fortress_Report.md,NIST IA-5; ISO A.8.5; SOC CC6.2,2026-04-04
INC-008,Data Exfiltration via DNS Tunneling,2026-04-10,2026-04-10,High,Data Exfiltration,Closed,Simulated DNS tunneling detected during final capstone exercise - sensitive data encoded in DNS queries to external resolver,Suricata IDS - custom DNS detection rule,Network perimeter - DNS traffic,Blocked external DNS; implemented DNS sinkholing; captured traffic for analysis,No DNS query inspection; external DNS resolution allowed for all hosts,Simulated data exfiltration demonstrated; no real data at risk in lab environment,Implemented internal DNS resolver; blocked external DNS; added DNS anomaly detection to Suricata,DNS tunneling is a powerful exfiltration technique; DNS inspection and internal resolvers are essential controls,custom_ids.rules; final_threat_report.txt; Deep_Pivot_Report.md,NIST SC-7; ISO A.8.20; SOC CC6.6,2026-04-17
INC-009,Forensic Investigation - Apache Log Tampering,2026-04-22,2026-04-22,Medium,Integrity Violation,Closed,During DFIR exercise attacker was found to have modified Apache access logs to remove evidence of compromise,Manual log review - collection_log.txt,Apache web server - access logs,Recovered original logs from memory forensics; documented chain of custody; preserved all evidence,No log integrity protection; logs stored on same system as application,Log tampering obscured attack timeline; recovered via memory forensics,Implemented remote syslog; added log integrity monitoring; updated chain-of-custody procedures,Remote syslog is essential - logs stored on compromised systems cannot be trusted; memory forensics can recover deleted/modified logs,apache_logs; collection_log.txt; forensic_report.pdf,NIST AU-9; ISO A.8.15; SOC CC7.3,2026-04-29
INC-010,Container Breakout Attempt,2026-05-05,2026-05-05,High,Container Security,Closed,Attempted container breakout via mounted Docker socket exploitation during penetration testing exercise,Manual penetration testing,Docker environment - privileged container,Removed Docker socket mount; audited all container configurations; updated docker-compose.yml,Docker socket mounted into container allowing host-level command execution,Container isolation compromised in test; corrected immediately,Removed all unnecessary volume mounts; implemented container security policies; added runtime protection,Never mount Docker socket into containers; treat container breakout as critical risk,docker-compose.yml; sandbox_report.txt,NIST CM-7; ISO A.8.9; SOC CC6.8,2026-05-12
