Remediation_ID,Title,Source,Source_ID,Priority,Category,Description,Assigned_To,Due_Date,Status,Percent_Complete,Framework_Reference,Effort_Days,Dependencies,Notes,Completed_Date
REM-001,Implement Parameterized Queries in OmniPortal,Incident,INC-001,Critical,Application Security,Replace all string-concatenated SQL queries with parameterized queries to prevent SQL injection,Binette,2026-07-15,Completed,100,NIST SI-10; ISO A.8.25; SOC CC6.8,3,,All login and search functions updated,2026-01-22
REM-002,Implement Content Security Policy and Output Encoding,Incident,INC-003,Critical,Application Security,Add CSP headers to all web responses; implement context-aware output encoding for all user-supplied data,Binette,2026-07-15,Completed,100,NIST SI-10; ISO A.8.25; SOC CC6.8,2,,CSP deployed; output encoding library integrated,2026-02-17
REM-003,Harden SSH - Key Auth Only and Rate Limiting,Incident,INC-002,High,Access Control,Disable password authentication on SSH; implement key-only auth; configure fail2ban for rate limiting,Binette,2026-07-01,Completed,100,NIST AC-7; ISO A.8.5; SOC CC6.1,1,,SSH hardened across all lab hosts,2026-02-04
REM-004,Implement Remote Syslog for Audit Log Integrity,Audit,AUD-007,High,Audit and Logging,Configure rsyslog on all hosts to forward logs to centralized syslog server; prevents tampering on compromised hosts,Binette,2026-08-01,In Progress,60,NIST AU-9; ISO A.8.15; SOC CC7.3,5,,Rsyslog configured; central server setup in progress,
REM-005,Remove Privileged Container Configurations,Incident,INC-010,Critical,Container Security,Audit and remove all unnecessary volume mounts and privileged flags from Docker configurations,Binette,2026-06-15,Completed,100,NIST CM-7; ISO A.8.9; SOC CC6.8,1,,docker-compose.yml updated; all containers run non-privileged,2026-05-12
REM-006,Implement Service Account Password Policy via LAPS,Incident,INC-007,High,Identity and Access,Deploy Local Administrator Password Solution (LAPS) for all service accounts; enforce 25+ character passwords,Binette,2026-07-01,Completed,100,NIST IA-5; ISO A.8.5; SOC CC6.2,3,,LAPS deployed; all service account passwords rotated,2026-04-04
REM-007,Implement DNS Query Inspection and Internal Resolver,Incident,INC-008,High,Network Security,Block external DNS resolution; deploy internal DNS resolver; add Suricata rules for DNS tunneling detection,Binette,2026-07-01,Completed,100,NIST SC-7; ISO A.8.20; SOC CC6.6,2,,Internal DNS deployed; external DNS blocked at firewall,2026-04-17
REM-008,Correct Sudo Rules - Principle of Least Privilege,Incident,INC-005,Critical,Access Control,Audit and correct all sudoers files; remove wildcard rules; implement per-command sudo grants only,Binette,2026-06-01,Completed,100,NIST AC-6; ISO A.8.2; SOC CC6.3,1,,All sudo rules audited; harden.sh updated,2026-03-12
REM-009,Develop Vendor Risk Management Program,Risk Register,RK-013,High,Governance,Create vendor risk assessment questionnaire; maintain vendor register; assess all third-party tools,Binette,2026-09-01,Planned,0,NIST SA-9; ISO A.5.19; SOC CC9.1,10,,Pending other high-priority items,
REM-010,Implement Formal Change Management Process,SOC 2 Gap,CC8.1,High,Governance,Document change advisory board (CAB) process; implement change tickets; require testing and approval,Binette,2026-08-01,In Progress,25,SOC CC8.1; NIST CM-3,5,,CAB process draft in progress,
REM-011,Develop Backup and Recovery Policy,Risk Register,RK-014,High,Business Continuity,Define RTO/RPO targets; implement backup procedures; test and document recovery process,Binette,2026-09-01,Planned,0,NIST CP-9; ISO A.5.30; SOC A1.2,7,,Blocked pending RTO/RPO definition from stakeholders,
REM-012,Implement Multi-Factor Authentication,Risk Register,RK-001,High,Authentication,Enable MFA for all administrative accounts and remote access; consider TOTP or hardware tokens,Binette,2026-08-01,Planned,0,NIST IA-2; ISO A.8.5; SOC CC6.1,5,,Requires MFA solution selection (Microsoft Authenticator vs YubiKey),
REM-013,Establish Patch Management SLAs,Risk Register,RK-007,High,Vulnerability Management,Define formal patch SLAs: Critical CVEs 72h; High CVEs 7d; Medium CVEs 30d; Low CVEs 90d; automate scanning,Binette,2026-07-01,In Progress,50,NIST SI-2; ISO A.8.8; SOC CC7.1,3,,SLAs defined; automation tooling selection in progress,
REM-014,Implement Data Loss Prevention Controls,Risk Register,RK-008,Medium,Data Protection,Evaluate and implement DLP solution to monitor and block unauthorized data exfiltration attempts,Binette,2026-10-01,Planned,0,NIST SC-28; ISO A.8.12; SOC CC6.7,15,,High effort; resource allocation pending,
REM-015,Develop Security Awareness Training Program,ISO Gap,A.6.3,Medium,Training and Awareness,Create formal security awareness training curriculum; schedule quarterly training sessions; track completion,Binette,2026-08-01,In Progress,30,NIST AT-2; ISO A.6.3; SOC CC1,8,,Training content being developed; LMS selection in progress,
REM-016,Implement Session Lock on Linux Hosts,NIST Assessment,AC-11,Medium,Access Control,Configure PAM-based session timeout and vlock for Linux hosts to enforce session locking,Binette,2026-07-15,Planned,0,NIST AC-11; ISO A.8.3,1,,Quick win - low effort,
REM-017,Document Cryptography Policy,ISO Gap,A.8.24,Medium,Governance,Create cryptography policy covering: approved algorithms; key lengths; key management; prohibited ciphers,Binette,2026-08-01,Planned,0,ISO A.8.24; NIST SC-28,3,,Policy template available; customization needed,
REM-018,Implement Asset Inventory (CMDB),NIST Assessment,CM-8,Medium,Asset Management,Deploy and maintain configuration management database; integrate with Nmap scanning for auto-discovery,Binette,2026-09-01,Planned,0,NIST CM-8; ISO A.8.1; SOC CC6,7,,Evaluating netdisco vs spreadsheet-based approach,
REM-019,Achieve 80% NIST 800-53 Compliance Score,NIST Assessment,,Medium,Compliance,Close remaining control gaps to achieve 80%+ compliance score for authorization recommendation,Binette,2026-12-01,In Progress,67,NIST 800-53 Rev 5,30,,Multiple sub-remediations tracked above,
REM-020,Achieve SOC 2 Readiness Score of 85%,SOC 2 Readiness,,High,Compliance,Complete all critical and important gaps identified in SOC 2 readiness assessment,Binette,2026-12-01,In Progress,70,SOC 2 TSC,45,,Dependent on REM-009 REM-010 REM-011 REM-012,
